codigo_postal,municipio,latitud,longitud,zone
55238,15033,19.4990730285645,-99.0253143310547,Cuautitlan
55240,15033,19.5137939453125,-99.0333557128906,Cuautitlan
55242,15033,19.5064105987549,-99.0322189331055,Cuautitlan
55243,15033,19.5043926239014,-99.0333633422852,Cuautitlan
55244,15033,19.5054664611816,-99.0323486328125,Cuautitlan
55245,15033,19.50634765625,-99.0288162231445,Cuautitlan
55246,15033,19.5095233917236,-99.0322647094727,Cuautitlan
55247,15033,19.5075798034668,-99.0283432006836,Cuautitlan
55248,15033,19.5166034698486,-99.0317077636719,Cuautitlan
55249,15033,19.5127868652344,-99.0257568359375,Cuautitlan
55260,15033,19.5062236785889,-99.0204162597656,Cuautitlan
55264,15033,19.499755859375,-99.0157470703125,Cuautitlan
55266,15033,19.5039482116699,-99.0255966186523,Cuautitlan
55267,15033,19.5065536499023,-99.0251693725586,Cuautitlan
55268,15033,19.5133438110352,-99.0214767456055,Cuautitlan
55269,15033,19.5118923187256,-99.0184860229492,Cuautitlan
55270,15033,19.510124206543,-99.0546188354492,Cuautitlan
55280,15033,19.4919757843018,-99.0392761230469,Cuautitlan
55284,15033,19.489294052124,-99.0392379760742,Cuautitlan
55287,15033,19.5007495880127,-99.0312423706055,Cuautitlan
55288,15033,19.5019931793213,-99.0342102050781,Cuautitlan
55289,15033,19.5033378601074,-99.036003112793,Cuautitlan
55290,15033,19.494987487793,-99.0291061401367,Cuautitlan
55294,15033,19.493501663208,-99.0378570556641,Cuautitlan
55295,15033,19.4885272979736,-99.0364685058594,Cuautitlan
55296,15033,19.4880828857422,-99.0311508178711,Cuautitlan
55297,15033,19.490348815918,-99.0309906005859,Cuautitlan
55298,15033,19.4933471679688,-99.0296630859375,Cuautitlan
55299,15033,19.4996681213379,-99.0280685424805,Cuautitlan
55300,15033,19.5413913726807,-99.0868377685547,Cuautitlan
55308,15033,19.5449142456055,-99.08154296875,Cuautitlan
55310,15033,19.5313949584961,-99.074951171875,Cuautitlan
55316,15033,19.5466918945313,-99.0761642456055,Cuautitlan
55317,15033,19.5375804901123,-99.085205078125,Cuautitlan
55320,15033,19.5254821777344,-99.0645065307617,Cuautitlan
55330,15033,19.5237083435059,-99.0626602172852,Cuautitlan
55338,15033,19.5274028778076,-99.0532531738281,Cuautitlan
55339,15033,19.5209465026855,-99.0624618530273,Cuautitlan
55340,15033,19.5189037322998,-99.0702209472656,Cuautitlan
55347,15033,19.5121154785156,-99.0752105712891,Cuautitlan
55348,15033,19.515645980835,-99.0812301635742,Cuautitlan
55349,15033,19.521520614624,-99.0863647460938,Cuautitlan
55360,15033,19.513542175293,-99.0741653442383,Cuautitlan
55369,15033,19.5074024200439,-99.0769119262695,Cuautitlan
55390,15033,19.5088272094727,-99.0827713012695,Cuautitlan
55400,15033,19.5686283111572,-99.0343246459961,Cuautitlan
55404,15033,19.5702590942383,-99.0354919433594,Cuautitlan
55405,15033,19.5583667755127,-99.0433654785156,Cuautitlan
55407,15033,19.5725040435791,-99.0467300415039,Cuautitlan
55410,15033,19.5779666900635,-99.0599899291992,Cuautitlan
55414,15033,19.5698184967041,-99.0643920898438,Cuautitlan
55415,15033,19.576343536377,-99.0639572143555,Cuautitlan
55416,15033,19.5607891082764,-99.0572738647461,Cuautitlan
55417,15033,19.5724258422852,-99.0529861450195,Cuautitlan
55418,15033,19.5730209350586,-99.0590515136719,Cuautitlan
55419,15033,19.5661354064941,-99.0549697875977,Cuautitlan
55420,15033,19.5548896789551,-99.0467758178711,Cuautitlan
55425,15033,19.5467987060547,-99.0603790283203,Cuautitlan
55429,15033,19.5506744384766,-99.0613861083984,Cuautitlan
55430,15033,19.5545215606689,-99.037467956543,Cuautitlan
55450,15033,19.5454368591309,-99.0473251342773,Cuautitlan
55458,15033,19.5529346466064,-99.0372848510742,Cuautitlan
55459,15033,19.5529270172119,-99.0352554321289,Cuautitlan
55490,15033,19.5307426452637,-99.0493698120117,Cuautitlan
55498,15033,19.5382404327393,-99.0454406738281,Cuautitlan
55500,15033,19.5600032806397,-99.0508728027344,Cuautitlan
55506,15033,19.5552043914795,-99.0675811767578,Cuautitlan
55507,15033,19.5599575042725,-99.0661926269531,Cuautitlan
55508,15033,19.5600776672363,-99.0708770751953,Cuautitlan
55509,15033,19.5654964447022,-99.0693740844727,Cuautitlan
55510,15033,19.5496997833252,-99.0800247192383,Cuautitlan
