ID_Credito,ID_Credito_original,ID_Tienda
2c4b6a,785ea37d-0911-435b-98ca-f468952c4b6a,6325a133-76aa-45cd-a4f0-5b278656e497
acd302,788c4d31-e610-42b2-9231-064b70acd302,d5364c55-47b9-42b9-b4c9-fdd5bd84370b
3ac007,7a72fd91-57db-439e-9aba-f18ce63ac007,d23daf2b-39f5-429a-8824-3d42fb16739d
fde5b5,7aec8ad5-7a9b-4b8a-b2bb-c2a170fde5b5,0164db03-fa9c-4aa9-bbd5-5d31c8063fa8
e97dad,7bbefa13-ae0f-4fca-81b4-edafc8e97dad,d6fe625c-5629-41f2-a945-59cedc040fc2
5e734a,7bdb2969-638b-4036-b226-0379535e734a,9d476226-fe57-4d9f-be2f-22e5054289bc
87690e,7c4494db-d07c-455d-b9d6-91895f87690e,56fb9751-8194-4329-bd54-65807cb88411
827763,7cfbaeaa-dadc-4579-9085-702349827763,b74d6e8b-d041-40e8-9e6b-91436cc620bb
3c10c9,7d48bd09-66b7-420a-80ab-a4dc9b3c10c9,29fbe5af-002d-4a09-a896-b6f91869dbf9
c00116,7ea2aeac-4b2d-43e9-ac29-ce6896c00116,8904412c-9b2f-4417-8cd9-50bb7c53d743
76ed83,7f9aefc5-61ab-4371-944c-61ab9076ed83,34f042ac-4431-4ab5-bf2b-bad8995b35a6
fc4f65,7ff174d6-44c5-4209-9d5b-b263effc4f65,05570da8-42e2-4f09-bde6-9f60bedc3e53
67d9f1,8163ba2a-d480-4040-91e2-7699d467d9f1,4635edaa-e48d-4473-a04d-0221461f168e
6eaaf9,823b7672-6281-411a-890e-e00d836eaaf9,707f5f53-7fa8-417e-bd9b-792d9524b288
755fd6,8267938f-d3e8-41a1-82a4-78f780755fd6,0629070e-ebc1-4e16-88f9-b24829b23394
31f1a5,84032d26-6bff-4486-b2dd-c2d65d31f1a5,e5ba98ff-b646-4c47-ad4a-c8f97044f59d
08e545,85ae5116-6fe0-4b35-b793-2c994d08e545,8e5d4201-bb00-4ec1-954e-2de3f0c0dd9a
224f0c,85ea8c0f-a15d-4588-8c25-e41630224f0c,d3166f39-5838-4b04-a9f9-32f66556e252
25aff4,87854176-bf8f-49f2-a5b5-55489225aff4,46b73e1a-8eae-4add-bf7d-09e1e1fbc7c1
7e20ff,87984d65-b77f-4b34-adbf-de9d5e7e20ff,77c80ff5-2169-49d6-90a8-13b00d8c90a5
51f427,8931cdf2-73ed-4d87-862e-de5d8851f427,afa08493-e49b-4196-8ee4-221d54a208b5
344fd1,89b5cf25-9f3b-4604-ac94-1e22c2344fd1,ea368961-927e-48d5-9718-99e2cbce05bc
14989c,8b74f27d-3f10-470c-b80b-b10a3b14989c,9747a49b-cd28-4158-b547-f0ddf7aa0a56
1c1e54,8bcd55ce-9f5d-47c6-bc15-512c9a1c1e54,e25c18ed-93b2-4f5e-b897-c414ab53629b
a7ddd9,8d0d9a42-ba73-4a28-910c-29e169a7ddd9,1990495e-c205-4444-a4c4-d2665ada3e05
1ac82f,8df5884b-faef-4692-a138-75bd171ac82f,b354493d-48fe-42d2-ac45-304aba7aed78
d48629,8e5df5e1-af38-44d5-bd76-6a5b3cd48629,d113782d-57cb-4489-94ed-649155ebb0b7
d3b911,8f05b29f-1ce7-4a94-82fa-8b25c1d3b911,63e61854-ae44-4a3a-bfd3-c47fc7cc53b4
14560a,8f878bd1-4d9a-4a9d-8a99-b5d78b14560a,9446d3c7-765b-4cc7-a59e-ee1e3d679df6
9de253,905f846a-6da7-4757-aec4-e11b089de253,884ae030-b96a-404f-a5df-d4a6677de587
3e9f97,908b95cb-b55c-4c19-8528-9ea0f13e9f97,e1dea2db-193b-40fc-9259-9fdb8e702771
a0e2e3,92e5627d-cc60-43b1-a990-919a0ea0e2e3,fb1d93eb-e0b6-44fb-9eb6-d9b890bd206c
88e1c1,93294ecc-199f-4e58-90cf-ac9fb188e1c1,353d82b7-12ca-4b2f-92ee-5a11f5077fc8
0a44ac,93cbc044-eaac-45ec-a1e5-7823bf0a44ac,62a3d3e9-3df8-41aa-8005-b6735df4f4d6
6eca7e,96fed422-1d76-498f-9f5c-fe02fb6eca7e,2887b684-5e58-42e1-888a-47ee877df03d
3496f1,9733dabb-e42e-4061-9fb7-9ad5193496f1,0812b0fb-4533-4a06-953e-42f4352f7597
f58d26,98e917c4-3f9f-4c72-b39c-1bea92f58d26,f5122798-6a7a-463f-8de7-b3cd0f2130e4
58251d,9a1fa001-b0e6-42d0-8e6c-5d9d5958251d,786e5817-c61b-4bef-8017-c2a86e13d8be
fe53c2,9b774815-05ca-43dd-8cd3-5a5472fe53c2,7681dce4-0e4a-4d6e-9bc2-e9d72eafe5de
749edf,9b9eef36-d0e1-4251-a41d-b6420d749edf,5e97cf57-2dd8-40ab-9d9b-74bea31405b9
47166a,9beee6e7-1b04-44b4-8ce3-e5828647166a,ba89f68c-ccb9-4703-a672-16f42eb698a3
911029,9c43e441-5fec-44c1-8a08-54c7a5911029,8c9a0167-e277-4cad-ad8d-5e2790d6b432
e2c2e0,9c465244-4d16-4a77-9a63-109bbee2c2e0,ffb66a62-f972-4332-bcf1-f033e43564cb
282825,9cebe163-889c-4c6d-b801-94a956282825,dccaef96-9d29-4f91-9c23-8037c67edacf
6fba92,9dbdde4a-c155-4470-ae3c-1c0e306fba92,026f49cd-ce25-4cd3-a55b-10c88515577c
7be306,9e321c3f-a022-4e0d-b985-b8419d7be306,636cf3da-1330-4ae0-9745-74022d2f03e7
1afec4,9f6e182c-4410-444a-a4d7-00a7c71afec4,1d7f2d06-ef84-4d3d-9c73-fe277608ee59
357f16,9ffc0cfa-ba7f-4d38-bb15-858615357f16,11100a83-22e4-46bd-ada8-1d57c14fc9bd
3d1a18,a003d689-3847-4cd6-8921-560eed3d1a18,22545dd7-f057-4564-80ec-0e2c4d4d6103
7163de,a007bb1d-6a51-4dc4-9b2f-405c917163de,5dcff60d-cd26-45f2-8ed3-945fceccdb14
e4d61b,a0a326b1-974d-4224-9a9f-26b39ce4d61b,93dfea1f-b637-4c51-84bf-63d854cc8363
185d43,a4f8860d-7dd2-4873-a0d5-909fc2185d43,93c3a74e-71ef-4948-a01d-9c020867df22
8b8039,a5741a8a-1c14-4588-a04f-51d5258b8039,c0a84aac-d5a2-40bb-b13f-ac0b435e8c01
495972,a5b28fcf-7a30-4323-9984-9128c0495972,a122bfde-f3bb-49c8-8428-e3e0bf806fe1
b256e0,a601ed98-47c4-416e-9740-a8c862b256e0,3bcc18b0-654e-4d2b-8443-b3d47d323eae
13b7cb,a64fd47c-e948-4090-8ac7-d9921213b7cb,1a21b61d-b4f7-466e-a797-f559de225b81
c2ddfe,a68b5927-df70-480f-b690-cb531ac2ddfe,7e4abfef-5abe-4687-a63d-71597f4de8cd
c1c191,a68f8d36-c2fd-4383-bb6c-144e03c1c191,9145d5b8-18ce-4b7a-bc13-06c9f0cd63d4
e6acf3,a734e231-232b-47b9-adb2-14947de6acf3,775b62c7-79c6-497f-b49f-28ea5ca3b6c9
565266,a881b5e5-40d9-46d5-862c-d03874565266,9f314b01-2a9c-40f9-925b-7757cda07b27
d2fbf0,a89132e8-f943-41ca-9593-1b9a79d2fbf0,ae6271f6-ad10-4d77-bd68-47be4136e19b
6e1b69,a94ece23-41fb-44aa-bd9b-ef67546e1b69,870d1afd-e5c0-425c-9f70-2317048dfa48
7dfb14,a9821cfd-5511-4543-8639-2ad3027dfb14,eba31979-d9a2-4038-8966-648b0982552f
5e930f,a9847b4c-474a-4a52-83a8-e822975e930f,a22b12ac-c6fc-467f-9ce4-7dff0e73c21d
00ec63,a98fb9a3-7bda-436e-a7b5-9ba68600ec63,fb6282a0-e0d9-4aef-8df3-8533f12a6337
1943d8,a9f431ce-e487-425f-9bb0-ea2a0b1943d8,f1bf8b09-392d-439f-8c72-0c66a89e76b8
c5ffe6,aa508f08-92d9-44ff-9cbe-06a64dc5ffe6,6af12dbd-0908-46db-8aa4-1f753541a1bc
f46e8f,aa92430a-968c-46e9-a8a6-21eee6f46e8f,97ccc4c6-39d8-4031-8168-8dc5f352dfb8
e8dccc,ab0cd57b-03b1-43f2-9e99-eb2679e8dccc,e0d70502-1706-4d29-9964-af4a73d0f8f5
bcfb25,ab27693d-971b-4774-ab4a-ab95cebcfb25,39539411-9e4d-40e3-8e01-79bee31988a2
5b5deb,ab361027-4ed2-46d2-b0e9-e830815b5deb,41cfb322-f9d3-4c8c-906e-09c21159295b
2aeec0,ac01f17d-d3c0-45e6-a6df-9e8c5d2aeec0,54ba9fd0-9c25-4d75-8aa6-527afd86a5a5
b2b02f,ad459664-9f0a-499a-8b50-2050c8b2b02f,e3971842-265f-4360-8f09-6abd19c20135
9c0ab7,add0ab59-0fd1-4f6a-9122-72506d9c0ab7,bc01f450-0ca3-424d-b925-61ca0c0afcd3
9d1890,af29611b-f2a0-42d5-af94-426abc9d1890,ca0d1285-0ff9-4045-9eab-b46941eadd88
26c5f2,af3c7389-de6e-4ac3-8c1b-e72ea326c5f2,f3383e19-56ef-4626-a92d-1615dee9be1e
